,entry_delta_sec,exit_delta_sec
count,34715.0,33602.0
mean,3308.5,2692.2
std,152177.1,67867.9
min,0.0,0.0
10%,1.0,3.0
25%,3.0,12.0
50%,12.0,24.0
75%,39.0,60.0
90%,129.0,288.9
95%,304.0,1572.0
99%,8994.8,34046.2
max,14243952.0,8612244.0
