size_tier,n,roi_median,net_pnl_median,net_pnl_sum,total_fee_median,fee_to_size_median
retail (<$100),5329,3.581,1.665,27017.582,0.094,0.094
small ($100–$1k),18271,1.374,3.475,303205.14,0.343,0.343
medium ($1k–$10k),5409,0.463,7.629,413228.053,0.724,0.724
large ($10k–$100k),318,0.063,11.775,-156850.67,0.539,0.539
whale (>$100k),13,0.066,126.323,-2350689.541,0.359,0.359
