model,slope,intercept,r,r2,p,n
net_pnl ~ log10(size),-1085.006758,2575.164726,-0.052126,0.002717,0.0,29128
net_pnl ~ size,-0.708828,614.316992,-0.963552,0.928433,0.0,29128
