,reg,cls
exit_coverage,0.6577,0.2364
entry_coverage,0.1498,0.2565
log_size,0.1342,0.0263
entry_gap_pct,0.0299,0.224
n_exit_swaps,0.0099,0.0001
log_latency,0.0088,0.0926
entry_delta_bridge_sec,0.0042,0.0192
exit_delta_bridge_sec,0.0024,0.0434
actor_trade_count,0.0023,0.0864
hour_utc,0.0006,0.0011
n_entry_swaps,0.0003,0.0003
dir_sol_to_eth,0.0,0.006
atomic_exit_same_block,0.0,0.0
liq_dead,0.0,0.0
liq_thin,0.0,0.0
liq_healthy,0.0,0.0
atomic_entry_same_block,0.0,0.0077
