symbol,datetime_utc,volatility,open,high,low,close,volume,slot_start,slot_end
SOLUSDT,2025-01-04 11:43 UTC,4.622353702501112e-05,216.34,216.34,216.33,216.34,130.191,311815141,311815291
SOLUSDT,2025-01-04 22:33 UTC,4.622781065084553e-05,216.32,216.32,216.31,216.31,180.16,311909854,311910004
SOLUSDT,2025-01-04 12:09 UTC,4.6229947760116983e-05,216.31,216.32,216.31,216.32,132.567,311818923,311819073
SOLUSDT,2025-01-04 22:32 UTC,4.6229947760116983e-05,216.31,216.32,216.31,216.32,111.985,311909707,311909857
SOLUSDT,2025-01-04 11:49 UTC,4.627273147942865e-05,216.11,216.11,216.1,216.1,1335.776,311816018,311816168
SOLUSDT,2025-01-04 11:19 UTC,4.6330615270528657e-05,215.84,215.84,215.83,215.83,445.268,311811639,311811789
SOLUSDT,2025-01-04 22:15 UTC,4.6330615270528657e-05,215.84,215.85,215.84,215.85,301.536,311907217,311907367
SOLUSDT,2025-01-04 10:54 UTC,4.635423909525484e-05,215.73,215.74,215.73,215.74,473.802,311807960,311808110
SOLUSDT,2025-01-04 10:43 UTC,4.638003803172082e-05,215.61,215.61,215.6,215.61,691.512,311806335,311806485
SOLUSDT,2025-01-04 19:49 UTC,4.645544922415175e-05,215.26,215.26,215.25,215.26,384.722,311886022,311886172
SOLUSDT,2025-09-06 02:58 UTC,4.8995590396819725e-05,204.1,204.1,204.09,204.09,355.455,364949516,364949666
SOLUSDT,2025-09-06 03:58 UTC,4.90172050389241e-05,204.01,204.01,204.0,204.01,53.999,364958482,364958632
SOLUSDT,2025-09-06 02:42 UTC,4.907975460118236e-05,203.75,203.76,203.75,203.76,110.155,364947114,364947264
SOLUSDT,2025-09-06 01:27 UTC,4.908698213229386e-05,203.72,203.72,203.71,203.72,188.36,364935920,364936070
SOLUSDT,2025-09-06 01:29 UTC,4.908698213229386e-05,203.72,203.72,203.71,203.72,360.539,364936213,364936363
SOLUSDT,2025-09-06 04:29 UTC,4.908698213229386e-05,203.72,203.72,203.71,203.71,60.995,364963113,364963263
SOLUSDT,2025-09-06 02:45 UTC,4.912073877600612e-05,203.58,203.58,203.57,203.58,481.353,364947567,364947717
SOLUSDT,2025-09-06 04:14 UTC,4.914004914000445e-05,203.5,203.5,203.49,203.5,344.673,364960887,364961037
SOLUSDT,2025-09-06 08:55 UTC,4.914487910355271e-05,203.48,203.48,203.47,203.47,679.727,365002947,365003097
SOLUSDT,2025-09-06 08:37 UTC,4.9156958167523604e-05,203.43,203.43,203.42,203.42,130.26,365000232,365000382
SOLUSDT,2025-09-06 08:48 UTC,4.9171460884058145e-05,203.37,203.37,203.36,203.37,557.122,365001892,365002042
SOLUSDT,2025-09-06 08:49 UTC,4.9171460884058145e-05,203.37,203.38,203.37,203.37,120.585,365002042,365002192
SOLUSDT,2025-09-06 09:25 UTC,4.918597216069502e-05,203.31,203.31,203.3,203.31,838.32,365007409,365007559
SOLUSDT,2025-09-06 05:14 UTC,4.919323101136809e-05,203.28,203.28,203.27,203.27,75.042,364969863,364970013
SOLUSDT,2025-09-06 05:15 UTC,4.919323101136809e-05,203.28,203.28,203.27,203.27,347.445,364970017,364970167
SOLUSDT,2025-09-06 04:59 UTC,4.920775514216566e-05,203.22,203.23,203.22,203.23,168.116,364967590,364967740
SOLUSDT,2025-09-06 09:18 UTC,4.9248953459694186e-05,203.05,203.06,203.05,203.05,643.282,365006365,365006515
SOLUSDT,2025-09-06 07:53 UTC,4.92635105178547e-05,202.99,202.99,202.98,202.99,185.737,364993653,364993803
SOLUSDT,2025-09-06 10:46 UTC,4.928050463232262e-05,202.92,202.92,202.91,202.91,55.637,365019507,365019657
SOLUSDT,2025-09-06 05:38 UTC,4.928536224750777e-05,202.9,202.9,202.89,202.9,303.57,364973437,364973587
SOLUSDT,2025-09-06 10:58 UTC,4.929751047567614e-05,202.85,202.85,202.84,202.85,88.146,365021293,365021443
SOLUSDT,2025-09-06 12:23 UTC,4.932912391471441e-05,202.72,202.73,202.72,202.73,145.169,365033990,365034140
SOLUSDT,2025-09-06 07:17 UTC,4.9333991119976946e-05,202.7,202.71,202.7,202.71,98.779,364988243,364988393
