slot,signature,profit_sol,fee_lamports,protocols,is_mev_tip,signer
324115988,4ZHThsx6woDrPPU1vxm8iGS3naHxMnxKf7dW1RtChPB6jNYCyjmPqaYnvLNp3EyJRAJ8NBHHLgTG57XeAv5WEkNh,0.16723,5000,Unknown,No,8jYhxAEeDL9UWVtE3nCCKj1sDSdabjbTjucQNvGEgfLc
324115988,26USHEB231my2uPDPP35gQPnY2KQeYb3w99cVFbzK8vrvnYHnpxPdvf4pgbWU9itSFC4HvVE2fkTdbBDWM8cTaFW,0.00149,5000,Unknown,No,CeCXK8vgby6FwqXEL5TBSj79rz2pxYu4SHu81YsDBUzX
324115988,3xuWLjWLi1AhfD9tTGA2EERmRnwVbsp1gWN59bu8zKfJnvZNQtQY6oVegAUB776QPj2RDeMDiUq844kxHmZhUeEj,0.001631,5000,Unknown,No,5YjtWTwtxDQ1xi3Fq7e7b8V66HTU6Hz1rMbTxNw246f8
324115988,4PTJJMDvGRpQrWvN1m27dNxKhimyWfd7aKXZ1GGLBKY6pFJtanfvfzujcqCx2L4mjpWAJzqrboaZE29UjZJdcghi,0.001285,5000,Unknown,No,Ays8eUNyadoQyBKqjhAYQMv37LRizfTfTkurx9oNHsBF
324115988,2MWTa3AuNTrhqmA3cJnJ9mBpRXzrYNUTqZrWPpTKoHeuq1tkfn3Lr2yw86uTqda5TXay1anKJFNySRxkSCSviRv9,0.001304,5000,Unknown,No,GYtMRrsVU7e6zvYPDiCNzPiNC4Rvrq4N7bHQHnfbK7UF
324115988,3zsBvwgpfxRokhUeMtj8BKuo4e8m2qpDPssARU4dr9mc4ykaFtSpTc8Yg1cwMUJYy5tYVKWqGKV2JaDzcBdWnorY,0.003219,5692,Unknown,No,EjQ3GnHiVNZo1wKTpN8ved6HPo8RtT85HQJgU24W2BY4
324115988,3wc4TaXso3PMhSu93fux6nSDfHTFhwESzDziM2LeMpBGzYvveLjaGSEoYJnxKjJSgoEM4qVguxbZsnS9FLvEsyje,0.13355,105000,Unknown,No,AXV5tzPkyzuG8efyTJXrNXdLVhNV3QQcorc13EewSmJm
324115988,3SJxASY3Rt6UShsb1J2TWCj4jZ22Sxf2be1TkTrkZQti21DQrZwZBfF9enMkQiuN2Y5rvToqbJkrwHi8jUbEvVcN,0.235167,5000,Unknown,No,3ifbrSbrpWLMaKnv6BrQLMEAtyhyf2rmcoKn3EzfQQob
324115988,qCPg4iB3pDy1ZeKtxvoKBXHFoRnWD1tdcVb8PJ66e6hB6WuVoDTzMCJsGnR4yZPRZcQUPfeCqoe5MSc826Sm4wF,0.147586,5000,Unknown,No,Dj8B83YjZxvdeB1qvkHpoykWHmuRMMwkyWD39VAJ6cxo
324115988,2Zt3hCX3w48vJYJjbz6M8rjm3imBBL4D3yTzek8T9u9C9n8AjKnbCq1yRXswZHRMU5rnXmNAvrqk7bJNy43vvTbU,0.364978,5000,Unknown,No,HkPwYW1ZPev9FV35ZiwJgP85XAFve7maF2nf4NFs75P2
