direction,count,mean,std,min,10%,25%,50%,75%,90%,95%,99%,max
ETH→SOL,14016.0,1636.7,31636.5,775.0,845.0,904.0,1011.0,1107.0,1165.0,1329.0,4358.3,3507424.0
SOL→ETH,18087.0,416.2,4884.2,16.0,24.0,28.0,34.0,50.0,98.0,254.4,5927.4,319561.0
