direction,count,mean,std,min,10%,25%,50%,75%,90%,95%,99%,max
ETH→SOL,12852.0,1125.43,5768.97,1.0,51.0,110.6,241.84,613.72,1504.0,2822.16,18676.1,188608.69
SOL→ETH,17607.0,1167.36,21504.01,1.0,55.83,145.22,297.33,957.64,1812.79,2720.82,8581.33,2748703.41
