,roi_pct
count,29340.0
mean,7.832
std,67.072
min,-125.277
1%,-49.645
5%,-4.15
10%,-1.506
25%,0.203
50%,1.387
75%,3.766
90%,10.661
95%,27.785
99%,152.403
max,5204.092
