model,theta,r2_structural,rss,"implied_slippage_bps_at_x=1000,L=50k"
quadratic  shortfall = θ · x²/L,4.5802536274636934e-05,-0.08238931163352237,10672148.389524758,0.009160507254927388
linear     shortfall = θ · x,0.007939448170681674,0.026486230762280738,9598656.68746385,79.39448170681673
