model,slope,intercept,r,r2,p,n
net_pnl ~ log10(size),-998.851346,2368.256621,-0.047275,0.002235,0.0,28586
net_pnl ~ size,-0.710695,586.550065,-0.96566,0.9325,0.0,28586
