speed_tier,n,roi_median,roi_mean,net_pnl_median,net_pnl_sum,size_median,fully_atomic_rate
1h–24h,355,0.207,10.783,0.639,39010.857,200.0,0.0
300s–1h,13913,1.535,7.67,3.012,-398100.934,236.679,0.001
60–300s,2360,1.077,7.672,2.025,-2252741.689,200.0,0.0
<60s,14086,1.424,7.834,3.82,1242171.072,300.0,0.001
>24h,15,-1.169,155.913,-5.939,-43647.348,250.0,0.0
