pred_decile,n,pred_mid,observed_loss_rate,sigma_used,slope_obs_vs_pred,intercept,r2
0,1398,2.7522908573335175e-14,0.16237482117310442,0.10102391671726318,0.2861796284325594,0.1423174364190062,0.742537077989029
1,1397,2.4832679011681542e-08,0.14244810307802433,0.10102391671726318,0.2861796284325594,0.1423174364190062,0.742537077989029
2,1398,1.204538068073881e-05,0.13733905579399142,0.10102391671726318,0.2861796284325594,0.1423174364190062,0.742537077989029
3,1397,0.0007610909001713107,0.15032211882605584,0.10102391671726318,0.2861796284325594,0.1423174364190062,0.742537077989029
4,1398,0.016707921892195294,0.17668097281831188,0.10102391671726318,0.2861796284325594,0.1423174364190062,0.742537077989029
5,1397,0.2792080336536449,0.22548317823908376,0.10102391671726318,0.2861796284325594,0.1423174364190062,0.742537077989029
6,1397,0.5613983816227905,0.23693629205440228,0.10102391671726318,0.2861796284325594,0.1423174364190062,0.742537077989029
7,1398,0.689827095383172,0.23819742489270387,0.10102391671726318,0.2861796284325594,0.1423174364190062,0.742537077989029
8,1397,0.7921274227426742,0.34144595561918395,0.10102391671726318,0.2861796284325594,0.1423174364190062,0.742537077989029
9,1398,0.9155612070836125,0.5436337625178826,0.10102391671726318,0.2861796284325594,0.1423174364190062,0.742537077989029
