direction,n,size_median,size_mean,roi_median,roi_mean,net_pnl_median,net_pnl_sum,time_diff_median,fully_atomic_rate
ETH→SOL,13527,225.474,889.946,1.585,7.541,3.097,-464471.522,1009.0,0.001
SOL→ETH,17202,277.542,1075.123,1.359,8.085,3.309,-948836.521,34.0,0.001
