direction,count,mean,std,min,10%,25%,50%,75%,90%,95%,99%,max
ETH→SOL,12638.0,889.95,3441.88,1.0,50.0,109.0,225.47,600.0,1496.0,2611.35,12908.69,110000.0
SOL→ETH,17185.0,1075.12,21680.93,1.0,54.56,140.0,277.54,900.0,1773.79,2585.5,6056.55,2748703.41
