symbol,datetime_utc,volatility,open,high,low,close,volume
BTCUSDT,2025-10-10 21:23 UTC,0.021936227179013588,107193.0,108812.94,106461.53,107478.75,360.19041
BTCUSDT,2025-10-10 22:05 UTC,0.021688476568624458,113210.81,113335.06,110879.69,111644.19,371.55694
BTCUSDT,2024-03-05 15:05 UTC,0.021227376822375608,68543.09,68554.99,67100.0,67597.08,773.33673
BTCUSDT,2024-04-12 18:34 UTC,0.021068863133701467,66595.43,67889.9,66486.81,66560.0,534.14548
BTCUSDT,2025-10-10 21:16 UTC,0.02016402986799628,111096.84,111240.16,109000.0,109000.0,1016.48662
BTCUSDT,2024-12-05 22:31 UTC,0.019653365791701856,94480.0,96097.79,94240.94,96080.01,664.82172
BTCUSDT,2025-02-03 02:08 UTC,0.019618355917343806,91261.47,93021.4,91231.0,92507.96,522.86541
BTCUSDT,2025-10-10 21:26 UTC,0.01916495627717613,107051.64,107051.64,105000.0,106582.03,376.84539
BTCUSDT,2024-08-05 06:25 UTC,0.018777230814370296,49351.26,50241.22,49314.54,49705.23,1001.04293
BTCUSDT,2025-01-20 17:06 UTC,0.018189589638016153,103104.58,103276.44,101401.01,103275.53,753.40557
BTCUSDT,2025-04-09 17:19 UTC,0.01809967838591087,77791.99,79058.0,77649.99,78932.3,881.30615
BTCUSDT,2024-03-04 00:49 UTC,0.01809513360270783,63435.84,63447.88,62300.0,62404.92,578.42948
BTCUSDT,2025-01-20 17:05 UTC,0.01752103404732052,104468.72,104880.4,103050.0,103104.58,581.83868
BTCUSDT,2025-10-10 21:45 UTC,0.01747411425330339,110809.05,112207.44,110271.15,112122.14,392.02459
BTCUSDT,2024-05-15 12:30 UTC,0.017267182920842884,62661.64,63743.62,62661.63,63630.45,1451.73937
BTCUSDT,2025-10-10 20:56 UTC,0.017170886981931085,114918.35,115012.25,113039.0,114409.94,924.45999
BTCUSDT,2024-12-05 22:29 UTC,0.017073076757452694,92656.41,94233.32,92651.39,94115.9,796.10912
BTCUSDT,2025-01-20 06:56 UTC,0.017024547223921892,109185.87,109588.0,107729.16,107983.8,761.03587
BTCUSDT,2024-08-27 22:14 UTC,0.016838596241602583,59035.8,59194.08,58200.0,58394.7,577.58902
