symbol,datetime_utc,volatility,open,high,low,close,volume,slot_start,slot_end
BTCUSDT,2025-03-10 20:30 UTC,0.0009257150070176479,79063.21,79122.65,79049.46,79122.65,27.05029,325904252,325904402
SOLUSDT,2024-11-18 05:44 UTC,0.0009046796611563404,243.18,243.38,243.16,243.37,1298.022,302080427,302080577
BTCUSDT,2025-04-02 19:31 UTC,0.0008806424229124454,86311.99,86388.0,86311.99,86388.0,6.98517,330871051,330871201
BTCUSDT,2024-12-28 19:17 UTC,0.0008706858695186403,94913.68,94996.32,94913.68,94996.32,10.2837,310407365,310407515
SOLUSDT,2024-10-25 13:29 UTC,0.0008635081457602076,173.71,173.86,173.71,173.85,1597.09,297620632,297620782
SOLUSDT,2025-03-17 19:08 UTC,0.0008473923426545353,129.81,129.91,129.8,129.89,661.908,327412386,327412536
BTCUSDT,2025-11-12 00:14 UTC,0.0008410059063603526,103007.6,103014.64,102928.01,102928.02,12.59172,379482645,379482795
BTCUSDT,2025-01-28 21:42 UTC,0.0008323703678920283,101024.74,101100.01,101015.92,101064.84,12.82319,316998711,316998861
BTCUSDT,2024-07-14 14:45 UTC,0.0008319109808401325,59766.01,59815.72,59766.0,59802.01,28.65662,279584429,279584579
SOLUSDT,2025-03-27 23:58 UTC,0.0007953723788863717,138.3,138.41,138.3,138.41,551.663,329619042,329619192
BTCUSDT,2025-08-01 15:41 UTC,0.0007943469755921693,115037.89,115129.27,115037.89,115121.42,9.20283,357246772,357246922
BTCUSDT,2025-12-08 21:21 UTC,0.0007796740805989614,90820.0,90859.09,90788.28,90838.48,5.37526,385390524,385390674
BTCUSDT,2024-02-09 05:40 UTC,0.0007790883086531398,46195.02,46195.03,46159.04,46176.84,28.56085,247013168,247013318
BTCUSDT,2024-05-17 19:26 UTC,0.0007766974608590033,66860.01,66901.94,66850.01,66890.02,20.36056,266374797,266374947
SOLUSDT,2024-09-16 20:11 UTC,0.0007599939200488123,131.58,131.58,131.48,131.49,702.571,290215220,290215370
BTCUSDT,2024-04-22 14:45 UTC,0.0007509847241918766,66259.67,66289.76,66240.0,66252.0,17.38825,261622996,261623146
SOLUSDT,2025-09-13 01:03 UTC,0.0007380981670562464,243.87,243.97,243.79,243.79,3442.877,366442280,366442430
SOLUSDT,2025-02-11 08:24 UTC,0.0007327438815886165,204.71,204.75,204.6,204.71,499.797,319906724,319906874
BTCUSDT,2024-10-02 22:14 UTC,0.000732587781248636,60525.17,60562.0,60517.66,60546.0,16.73197,293345202,293345352
BTCUSDT,2024-05-24 19:08 UTC,0.0007199675055827651,68836.44,68866.36,68816.8,68857.26,8.79199,267733048,267733198
BTCUSDT,2024-09-01 18:56 UTC,0.0007084985642006887,58504.0,58544.0,58502.55,58543.99,4.57102,287204687,287204837
BTCUSDT,2024-03-01 06:32 UTC,0.0007020555889173536,61647.54,61647.55,61604.27,61604.28,21.64623,251350647,251350797
