direction,count,mean,std,min,10%,25%,50%,75%,90%,95%,99%,max
ETH→SOL,13527.0,1620.9,32099.5,775.0,844.0,902.0,1009.0,1104.0,1161.0,1297.0,4324.2,3507424.0
SOL→ETH,17202.0,348.5,4444.3,16.0,24.0,28.0,34.0,48.0,90.0,220.0,4703.7,319561.0
