actor,trades,net_pnl_sum,net_pnl_abs_sum,size_sum,trade_share,cum_trade_share
CiqsxULxtYZSNV7XT18SeEJH95QWFHDiDHbeXKX23WS3|0x1c6df9f31fb3c83be11a5ee181b9994cd7dc3069,175,3791.8031730000002,5218.280135000001,113615.32659099999,0.005694946142080771,0.9159425949428877
7ZayL7882TFLYKsqZFxUP9CuEyndA3TYH6n4BohTfmND|0x000000431ddc2612c8db1f76a49ba0f78b754443,167,0.0,0.0,78695.032147,0.005434605747014221,0.9213772006899019
9XQLDx1MV5Ssv48DfFfBwFErh8ds6jfXfHZBJKj1FqXY|0x3e0954d9b32f823aff2f66173ffed5f453dedd93,153,428.91338499999995,636.5902469999999,18485.75,0.00497901005564776,0.9263562107455496
8DTNTkJ2ADZDSNj5zSgHuuqvWxzhh25eKBDAY4wySTo2|0x605534105d776a1c6c7c439e4946e2ed31695cff,146,862.3704209999999,1302.793605,9247.365657,0.004751212209964529,0.9311074229555142
2i5gFiE5ZDxg8hLmq2KCc1Ch9333mWs3D8gLevdnfwrB|0x01bdc0f505555b9f51ef3557d13d15518fc0eaad,112,1034.294304,1076.8378320000002,7938.324141,0.003644765530931693,0.9347521884864459
6Uzw1PHytodutFLtLT3ibFrb7dXz5wJmeFFBt7qc4NB9|0xbd955e292daa175bd7148810e2e2fe571a85cc8a,111,-1629.459841,2490.7514750000005,33910.0,0.0036122229815483747,0.9383644114679943
EUCKyvUd3T1bowAfbvCvDCoVxeYvwRkFouMKmkmGjKw8|0x239c81f7457ce5a98de6eca46f41b53f38c3fe5f,110,2052.874281,3198.508829,55272.37357799999,0.003579680432165056,0.9419440919001594
scuP6pHdygHVJrKAqBvo1T14dRygDoMA9CcSMyoxcpu|0x03f4f1c19e2228674ca47eece083772b8b033dc2,98,166.63185600000003,232.626368,23000.0,0.0031891698395652315,0.9451332617397246
CybgWdcXB7B3wiGHRpTauxt2KaPEtY4o6ty7aWzVW7ud|0x27503e930a0290761fd14875434f0763ba6a9aa3,96,7995.009101999999,9307.74891,41092.278441999995,0.003124084740798594,0.9482573464805232
55QwG7Sb2vzLea1qa9DDCorA42iEimaP2VVVLwQFeQka|0x8c463874382b7f8582ed01650f8b30a82690612f,95,70005.33064100001,109236.66677099999,673037.776451,0.0030915421914152756,0.9513488886719385
3AF33jD7WMFYMZQMExveQcVF2GxigUw5EbBMnHk1u3vD|0xc58dcf4c35239528c6a4932bbc24d2c99bb6831d,82,0.0,0.0,171948.868462,0.0026684890494321324,0.9540173777213706
9zS4PFfvZds4VRFfvmDpqykwU9YJFCzt4WweswySkJQq|0x40786472eddbf02e9ce122adef40bda90c20302c,56,102499.574826,106185.62119,392148.158514,0.0018223827654658465,0.9558397604868365
GWjVLfPGbDGxjCuTFFkEsotJcLzXQWXTjfWhP4fuMAd1|0x38f4c75fdcbc4f314262093ebe2f8ed6ba7a0552,54,-17242.844949000006,82313.82675699999,280466.519184,0.0017572976666992092,0.9575970581535357
BzjNZDYn3XNjZ2UiKZawTUFwzUYnAwYGELFpUXyPmPUP|0xa77ce92a601d504a6d64af843eb5a3994616969c,49,-2334.3282820000004,5736.567196,16700.271678,0.0015945849197826158,0.9591916430733183
ZJVmWFyVB8HwHBjXumvKGC3hnzijZJMxvFgMvuLBjjT|0x3fa73646e0350ecc92b5c10f1716b53b2dc05287,48,2165.145738,2356.8877279999997,16607.729747999998,0.001562042370399297,0.9607536854437175
HmdyD9rq4MZAWkec8i7E7PDWJbB6TrWpEvbHUueqcRc8|0xc13fd7748a6885720ceb172ca36b76e11b626dec,48,0.0,0.0,35751.945648,0.001562042370399297,0.9623157278141168
DvcKG6BeEmmz7UdMPvGkDVR5b4AAgcYoBqz8U7nGtjNs|0xbacfe82a2f27e5980d93a1dd9994dbe47e239db0,47,0.0,0.0,108266.21145399999,0.0015294998210159784,0.9638452276351328
4CmQ2nk3me49jwBJjs8JzkArEQbwtGWcGPoBc1aazW3v|0xc70882fd04799dfa6b72c7bda3068bfd9e11be66,43,39.236155,273.5598569999999,31450.377002000005,0.0013993296234827036,0.9652445572586155
6bKoLDvB5zbSdtticwgg4oncTm4s3e9DwhJtxZJyhhcv|0xfaec284e854d963c5598aa6ba099bbf8f0b8f96d,38,-12.098701,12.098701,9140.0,0.0012366168765661101,0.9664811741351815
5Zp4ptT3jNJ6wj7377xZwMMDgrLnGGaZcCEMXFHdR1fa|0x6ee40d8080c014f5e55508079e90073e1af2672f,36,963.9742289999999,1128.550387,22942.613128000005,0.0011715317777994728,0.967652705912981
9XQLDx1MV5Ssv48DfFfBwFErh8ds6jfXfHZBJKj1FqXY|0x34495dca57890d33999fd34d0b66b28c45cf2048,32,22.834307,71.282471,3668.4300000000003,0.0010413615802661981,0.9686940674932473
6dZb31eSRjbULxVbo1Xkdg96H9P9Ccn33A9zn9icdwqP|0x17d288cc563fd7125e22825f8b5c22789ccd8c4e,32,4097.784602,4747.446046,2722.959714,0.0010413615802661981,0.9697354290735135
Cu4TkhL3mNzj1MmrZCQtFGQ2F939BCmEyRE6KVbzeobz|0xc8a18e186ae4a38eaa8a7f546fff693bd6771eaa,25,-893.937821,1369.4826890000004,10227.877433,0.0008135637345829673,0.9705489928080965
PBaKPdnS7UatupMydkMEXTjfRFmj2m2X7xVgsMBDaVY|0x0c8afa31d68028ed8054493ee92f52b82ab992a2,23,-39024.09501499999,68539.622613,311270.0,0.0007484786358163298,0.9712974714439128
5Zp4ptT3jNJ6wj7377xZwMMDgrLnGGaZcCEMXFHdR1fa|0xc8a18e186ae4a38eaa8a7f546fff693bd6771eaa,23,322.75285900000006,505.16020100000003,13734.455603999999,0.0007484786358163298,0.972045950079729
3MGVhgUexzKj3Gcr2qnZkM1nxGzHypaogvGVsntBAiWc|0xf76ccb1d46a6ca0e33990f70f9fa27e0d83cddaa,22,0.0,0.0,8868.659221,0.0007159360864330112,0.9727618861661621
2DG9846iV4dkbjKRkWbbPpw8g4ekVvxZBLyBpowGyk2E|0x318d280c0dc7c0a3b4f03372f54c07d923c08dda,22,76.70841800000001,174.57468999999998,3143.7302290000002,0.0007159360864330112,0.9734778222525952
FecLoyHvmaLeNPgfowc92oQEY85Zkg2uazvGGmikyoT2|0xfbd7d9533c43e065aa4d5ca9c6fb75744cee8b5d,21,-67343.50851099999,73393.78193699999,119333.61453400001,0.0006833935370496925,0.9741612157896449
8LCqo9ZR2NMGcbcDiUtHoo8yw2sMEMx4MC4MZKZUNSLx|0x40fb08ad52270db281b638f0d4c4bf1dc11601d8,20,78.791108,134.047224,5878.100114,0.0006508509876663738,0.9748120667773112
664yPUmgPqFcjTjCsRQRXZ4rAKDkF2vSwhyndeBgsYJy|0x0bf748d20cae6823e0da16a72886b2b90c408a61,20,0.0,0.0,28600.246898999998,0.0006508509876663738,0.9754629177649776
EELhpihpevqjyez7DHaXBfn1eoCRvNMKso9Ck3oPnLx4|0x3c94ca5a1604028ab34fc30fb93f43a7281bffff,19,0.0,0.0,67200.0,0.0006183084382830551,0.9760812262032607
JBpGKwXuUmMo3PJEKuLajWGZfs7HEpcFBzv8J9nXxBWq|0xe8cf21b89c4823355dd0e4e24fba4112be1083db,19,435.98588400000006,1016.1489639999999,9160.602998,0.0006183084382830551,0.9766995346415437
3M3N1NzFQo7DQjYuA1KENkzLjPb94sSu4KwteABGWCPF|0x34327028c727613872cd80122b9a489a4b9c0bfa,14,-1194.934377,1453.659581,43022.997743,0.00045559569136646163,0.9771551303329101
4ypaHdfY1haUKeefGwtjWgFsGaC8BRUGTqGGuCNo9GjE|0x81bbf40bf933f90c60b7a93b9b42dc88072812f7,14,0.0,0.0,10058.035283000001,0.00045559569136646163,0.9776107260242766
6jttcH65RyFqthhGa8cMzc9nMCthXViBQoYxkdL7h1Rw|0xa508b631f319f4fcda0fcc9bcb15b2ee7dc5c56e,13,0.0,0.0,0.0,0.00042305314198314297,0.9780337791662597
FZQBGnAZQcpfEjy6zffCKnR6zMkB1rz8X2cdMCVD1648|0xdc721367303b5cfcfbaa5cff29e3368d85ea78ec,13,-781.1216459999998,860.6317140000001,3120.0,0.00042305314198314297,0.9784568323082428
A57gbvFrv3LdrRSE3jqi6iKTTBCMKADNrousWqGRMh38|0x0479151c52f83d76ed1aa2761d1137a319663da5,13,56.06372799999999,56.06372799999999,3516.9737299999997,0.00042305314198314297,0.9788798854502259
DzizsTmAnfUhNEuN4Rc2XmbCzpGc7DMLtr8Z5QU9B7sz|0x6b4e50277999e9e7f3e33258f4aacdfb769eeb09,13,-39.132596,105.58412799999999,3041.24439,0.00042305314198314297,0.979302938592209
7kcc45GMRtdYgVLYX9d4FM96fAbYabS9Ph9UehjNyHeB|0x6583738ad6c41c7f47d745d6bfe3b19adafb6697,13,57.846623,58.982566999999996,1315.0,0.00042305314198314297,0.9797259917341921
