,ETH→SOL_n,SOL→ETH_n,ETH→SOL_pnl,SOL→ETH_pnl,n_total,pnl_total,pnl_cumulative
2025-04-15,25.0,32.0,24.218169,241.001701,57.0,265.21987,265.21987
2025-04-16,67.0,28.0,337.27726,271.223226,95.0,608.500486,873.720356
2025-04-17,41.0,46.0,211.494991,245.836914,87.0,457.331905,1331.052261
2025-04-18,31.0,29.0,186.63427,503.20410999999996,60.0,689.8383799999999,2020.890641
2025-04-19,39.0,44.0,81.39184300000001,375.57382,83.0,456.965663,2477.856304
2025-04-20,26.0,35.0,131.471676,148.138894,61.0,279.61057,2757.4668739999997
2025-04-21,74.0,101.0,183.976206,1398.425641,175.0,1582.401847,4339.868721
2025-04-22,91.0,73.0,151.71222699999996,295.857944,164.0,447.57017099999996,4787.438892
2025-04-23,85.0,82.0,310.51900199999994,987.604398,167.0,1298.1234,6085.5622920000005
2025-04-24,49.0,44.0,2959.955082,823.538325,93.0,3783.493407,9869.055699
2025-04-25,47.0,109.0,-94.85559899999998,3823.112416,156.0,3728.256817,13597.312516
2025-04-26,28.0,54.0,204.535082,451.41974,82.0,655.9548219999999,14253.267338
2025-04-27,49.0,53.0,135.179324,510.66501,102.0,645.844334,14899.111671999999
2025-04-28,28.0,73.0,-51.742263,890.335016,101.0,838.592753,15737.704425
2025-04-29,26.0,56.0,189.687806,2304.12264,82.0,2493.810446,18231.514871
2025-04-30,37.0,31.0,151.74564,261.829994,68.0,413.57563400000004,18645.090505
2025-05-01,31.0,42.0,-93.818642,-44147.67863,73.0,-44241.497272,-25596.406767
2025-05-02,34.0,55.0,-163.56051399999998,340.266757,89.0,176.706243,-25419.700524
2025-05-03,21.0,42.0,25.535352999999997,213.591778,63.0,239.127131,-25180.573393
2025-05-04,17.0,27.0,133.94844799999998,107.633742,44.0,241.58218999999997,-24938.991202999998
2025-05-05,23.0,15.0,222.182994,75.371529,38.0,297.554523,-24641.43668
2025-05-06,20.0,29.0,-787.119556,338.71517,49.0,-448.404386,-25089.841065999997
2025-05-07,22.0,23.0,75.135317,132.792296,45.0,207.927613,-24881.913452999997
2025-05-08,27.0,87.0,545.955318,1714.390031,114.0,2260.345349,-22621.568103999998
2025-05-09,45.0,70.0,109.393375,850.004662,115.0,959.398037,-21662.170067
2025-05-10,25.0,97.0,514.511395,2338.8229460000002,122.0,2853.334341,-18808.835725999998
2025-05-11,25.0,39.0,437.48211100000003,585.805098,64.0,1023.2872090000001,-17785.548516999996
2025-05-12,46.0,44.0,559.128906,3712.4779040000003,90.0,4271.60681,-13513.941706999994
2025-05-13,23.0,61.0,591.455979,1793.336965,84.0,2384.792944,-11129.148762999994
2025-05-14,48.0,67.0,151.200153,1017.496515,115.0,1168.696668,-9960.452094999993
2025-05-15,21.0,51.0,602.337774,545.316664,72.0,1147.654438,-8812.797656999994
2025-05-16,44.0,66.0,1382.683775,3335.858599,110.0,4718.542374000001,-4094.255282999993
2025-05-17,29.0,32.0,516.0599540000001,494.39274400000005,61.0,1010.452698,-3083.802584999993
2025-05-18,30.0,34.0,174.445443,821.298422,64.0,995.7438649999999,-2088.058719999993
2025-05-19,37.0,43.0,202.767382,402.181817,80.0,604.949199,-1483.109520999993
2025-05-20,27.0,38.0,254.565204,600.957625,65.0,855.522829,-627.586691999993
2025-05-21,23.0,33.0,351.840197,523.226402,56.0,875.066599,247.47990700000696
2025-05-22,30.0,31.0,289.43298,636.700534,61.0,926.1335139999999,1173.6134210000068
2025-05-23,30.0,51.0,372.908579,375.396787,81.0,748.305366,1921.918787000007
2025-05-24,12.0,20.0,25.995778,189.536738,32.0,215.53251600000002,2137.451303000007
2025-05-25,34.0,44.0,375.466744,611.326671,78.0,986.7934150000001,3124.244718000007
2025-05-26,52.0,67.0,324.689688,1206.843491,119.0,1531.533179,4655.777897000007
2025-05-27,20.0,32.0,643.26932,538.318613,52.0,1181.587933,5837.365830000007
2025-05-28,11.0,25.0,91.03643199999999,371.530227,36.0,462.566659,6299.932489000007
2025-05-29,33.0,72.0,2517.504794,1484.504204,105.0,4002.0089980000002,10301.941487000007
2025-05-30,79.0,96.0,199.89712099999997,1873.416921,175.0,2073.314042,12375.255529000007
2025-05-31,50.0,49.0,419.989187,767.615475,99.0,1187.604662,13562.860191000007
2025-06-01,39.0,66.0,825.958397,1724.6619110000001,105.0,2550.620308,16113.480499000007
2025-06-02,39.0,65.0,477.24786,1729.2727069999999,104.0,2206.520567,18320.001066000008
2025-06-03,26.0,52.0,750.012302,490.67780899999997,78.0,1240.690111,19560.691177000008
2025-06-04,34.0,41.0,-1251.959646,531.675753,75.0,-720.283893,18840.407284000008
2025-06-05,29.0,34.0,843.4554,3195.101237,63.0,4038.5566369999997,22878.96392100001
2025-06-06,24.0,34.0,358.249661,486.607026,58.0,844.856687,23723.82060800001
2025-06-07,15.0,33.0,-87.406648,473.057997,48.0,385.651349,24109.47195700001
2025-06-08,13.0,18.0,-14.371649999999995,250.533843,31.0,236.162193,24345.63415000001
2025-06-09,36.0,31.0,1004.342807,412.497484,67.0,1416.840291,25762.47444100001
2025-06-10,42.0,60.0,367.968332,3907.865415,102.0,4275.833747000001,30038.30818800001
2025-06-11,21.0,65.0,422.126161,984.8479259999999,86.0,1406.974087,31445.28227500001
2025-06-12,30.0,27.0,410.91553700000003,407.305667,57.0,818.2212040000001,32263.50347900001
2025-06-13,26.0,26.0,236.725622,71.491836,52.0,308.21745799999997,32571.72093700001
2025-06-14,24.0,24.0,134.789471,192.825051,48.0,327.61452199999997,32899.33545900001
2025-06-15,52.0,23.0,149.289352,267.821728,75.0,417.11108,33316.44653900001
2025-06-16,30.0,31.0,296.881412,38.99133599999997,61.0,335.872748,33652.31928700001
2025-06-17,34.0,33.0,306.20516,342.776748,67.0,648.981908,34301.301195000015
2025-06-18,19.0,25.0,178.11384800000002,206.03824500000002,44.0,384.15209300000004,34685.45328800001
2025-06-19,14.0,14.0,54.902241,682.495796,28.0,737.398037,35422.85132500001
2025-06-20,15.0,16.0,130.421413,-157.257044,31.0,-26.835631000000006,35396.01569400001
2025-06-21,40.0,31.0,228.272772,1120.22162,71.0,1348.494392,36744.51008600001
2025-06-22,50.0,36.0,266.835074,718.644997,86.0,985.480071,37729.99015700001
2025-06-23,17.0,34.0,130.934181,445.981533,51.0,576.915714,38306.90587100001
2025-06-24,8.0,33.0,263.780009,-17554.422046,41.0,-17290.642037,21016.26383400001
2025-06-25,18.0,20.0,129.310622,426.40058,38.0,555.711202,21571.975036000007
2025-06-26,11.0,23.0,6.507054999999999,104.47337499999999,34.0,110.98042999999998,21682.955466000007
2025-06-27,13.0,14.0,92.32036500000001,160.01512599999998,27.0,252.335491,21935.29095700001
2025-06-28,49.0,19.0,207.52290100000002,175.61828300000002,68.0,383.14118400000007,22318.43214100001
2025-06-29,31.0,19.0,93.68983399999999,-491.28364300000004,50.0,-397.5938090000001,21920.838332000007
2025-06-30,44.0,29.0,-130.79112200000003,856.380657,73.0,725.5895350000001,22646.427867000006
2025-07-01,34.0,17.0,260.57473799999997,110.339781,51.0,370.914519,23017.342386000008
2025-07-02,31.0,42.0,430.346234,312.70655899999997,73.0,743.052793,23760.395179000006
2025-07-03,38.0,48.0,204.820608,529.247473,86.0,734.068081,24494.463260000008
2025-07-04,17.0,15.0,-66.629162,45.366417999999996,32.0,-21.262743999999998,24473.200516000008
2025-07-05,19.0,11.0,81.132936,42.018138,30.0,123.151074,24596.35159000001
2025-07-06,16.0,25.0,37.552662,208.095882,41.0,245.648544,24842.00013400001
2025-07-07,23.0,24.0,135.644803,763.353573,47.0,898.998376,25740.99851000001
2025-07-08,62.0,41.0,18623.314127,363.30591499999997,103.0,18986.620042000002,44727.618552000014
2025-07-09,43.0,38.0,-777.2021719999997,488.25278799999995,81.0,-288.9493839999997,44438.669168000015
2025-07-10,24.0,52.0,82.334043,687.484334,76.0,769.8183769999999,45208.48754500002
2025-07-11,40.0,67.0,293.866081,1088.7850250000001,107.0,1382.6511060000003,46591.138651000016
