category,symbol,datetime_utc,volatility,open,high,low,close,volume,slot_start,slot_end
random,BTCUSDT,2025-01-18 23:13 UTC,0.00026226668455301365,104511.94,104536.92,104509.51,104536.92,6.34481,314883446,314883596
random,SOLUSDT,2025-10-26 07:24 UTC,0.00025759917568254995,194.1,194.13,194.08,194.09,326.61,375874941,375875091
random,SOLUSDT,2025-12-27 20:05 UTC,0.00024297400178181856,123.47,123.47,123.44,123.45,916.347,389576313,389576463
random,BTCUSDT,2026-01-26 11:55 UTC,0.00022029528676248265,87836.65,87855.99,87836.64,87855.98,4.45386,396045653,396045803
random,SOLUSDT,2025-04-19 23:08 UTC,0.0002148227712137568,139.65,139.65,139.62,139.64,631.395,334593083,334593233
random,BTCUSDT,2024-06-15 06:38 UTC,0.0002112761395744506,66263.99,66264.0,66250.0,66251.85,25.56159,271942163,271942313
random,BTCUSDT,2024-08-23 06:21 UTC,0.00019720857097024216,60899.99,60900.0,60887.99,60887.99,2.02049,285291898,285292048
random,BTCUSDT,2025-04-27 19:57 UTC,0.00018535679223018222,94412.51,94412.51,94395.01,94395.01,2.36841,336310123,336310273
random,BTCUSDT,2025-01-22 06:18 UTC,0.00017605826801005825,105817.24,105818.63,105800.0,105809.32,10.9271,315582306,315582456
random,BTCUSDT,2025-11-27 01:54 UTC,0.00015592285766238354,90685.87,90700.0,90685.86,90700.0,3.81726,382766145,382766295
random,BTCUSDT,2026-01-26 04:08 UTC,0.00013297627334789676,87384.01,87395.62,87384.0,87393.8,10.4847,395975588,395975738
random,BTCUSDT,2024-11-09 11:08 UTC,0.00010186395343298063,76474.55,76474.55,76466.76,76466.77,6.39466,300362996,300363146
random,BTCUSDT,2024-07-23 06:44 UTC,9.013611906019876e-05,66565.99,66570.0,66564.0,66564.01,4.35803,279584429,279584579
random,BTCUSDT,2024-09-29 19:57 UTC,6.336406490470628e-05,65967.99,65972.17,65967.99,65968.0,7.46462,292762757,292762907
random,BTCUSDT,2024-08-18 21:06 UTC,3.512575018551864e-06,59785.2,59785.21,59785.0,59785.0,4.91788,284421978,284422128
random,BTCUSDT,2025-03-22 16:56 UTC,1.188481239201021e-07,84141.0,84141.01,84141.0,84141.0,1.92006,328473446,328473596
